"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"6109",2003,"NH","Total Electric Power Industry","Hydro",1331269
"6110",2003,"NH","Total Electric Power Industry","Natural Gas",4165465
"6111",2003,"NH","Total Electric Power Industry","Nuclear",9276288
"6114",2003,"NH","Total Electric Power Industry","Petroleum",2044527
"6115",2003,"NH","Total Electric Power Industry","Wood",637376
"6116",2003,"NJ","Total Electric Power Industry","Total",57399351
"6117",2003,"NJ","Total Electric Power Industry","Coal",9789563
"6118",2003,"NJ","Total Electric Power Industry","Hydro",38891
"6119",2003,"NJ","Total Electric Power Industry","Natural Gas",14775577
"6120",2003,"NJ","Total Electric Power Industry","Nuclear",29709201
"6124",2003,"NJ","Total Electric Power Industry","Petroleum",1541553
"6126",2003,"NM","Total Electric Power Industry","Total",32735653
"6127",2003,"NM","Total Electric Power Industry","Coal",28812844
"6128",2003,"NM","Total Electric Power Industry","Hydro",170699
"6129",2003,"NM","Total Electric Power Industry","Natural Gas",3518705
"6131",2003,"NM","Total Electric Power Industry","Petroleum",50669
"6132",2003,"NM","Total Electric Power Industry","Wind",182735
"6133",2003,"NV","Total Electric Power Industry","Total",33194888
"6134",2003,"NV","Total Electric Power Industry","Coal",17085959
"6135",2003,"NV","Total Electric Power Industry","Geothermal",1065711
"6136",2003,"NV","Total Electric Power Industry","Hydro",1756705
"6137",2003,"NV","Total Electric Power Industry","Natural Gas",13252779
"6139",2003,"NV","Total Electric Power Industry","Petroleum",16793
"6140",2003,"NY","Total Electric Power Industry","Total",137643316
"6141",2003,"NY","Total Electric Power Industry","Coal",23581067
"6142",2003,"NY","Total Electric Power Industry","Hydro",24268660
"6143",2003,"NY","Total Electric Power Industry","Natural Gas",28156348
"6144",2003,"NY","Total Electric Power Industry","Nuclear",40679205
"6147",2003,"NY","Total Electric Power Industry","Petroleum",19291600
"6149",2003,"NY","Total Electric Power Industry","Wind",41201
"6150",2003,"NY","Total Electric Power Industry","Wood",411576
"6151",2003,"OH","Total Electric Power Industry","Total",146638128
"6152",2003,"OH","Total Electric Power Industry","Coal",134769137
"6153",2003,"OH","Total Electric Power Industry","Hydro",510835
"6154",2003,"OH","Total Electric Power Industry","Natural Gas",1793584
"6155",2003,"OH","Total Electric Power Industry","Nuclear",8475016
"6159",2003,"OH","Total Electric Power Industry","Petroleum",410153
"6160",2003,"OH","Total Electric Power Industry","Wood",407417
"6161",2003,"OK","Total Electric Power Industry","Total",60626856
"6162",2003,"OK","Total Electric Power Industry","Coal",36676326
"6163",2003,"OK","Total Electric Power Industry","Hydro",1798412
"6164",2003,"OK","Total Electric Power Industry","Natural Gas",21822696
"6168",2003,"OK","Total Electric Power Industry","Petroleum",161210
"6170",2003,"OK","Total Electric Power Industry","Wind",54470
"6171",2003,"OK","Total Electric Power Industry","Wood",267123
"6172",2003,"OR","Total Electric Power Industry","Total",48966139
"6173",2003,"OR","Total Electric Power Industry","Coal",4304848
"6174",2003,"OR","Total Electric Power Industry","Hydro",33250332
"6175",2003,"OR","Total Electric Power Industry","Natural Gas",10243696
"6178",2003,"OR","Total Electric Power Industry","Petroleum",44096
"6179",2003,"OR","Total Electric Power Industry","Wind",443617
"6180",2003,"OR","Total Electric Power Industry","Wood",553914
"6181",2003,"PA","Total Electric Power Industry","Total",206349513
"6182",2003,"PA","Total Electric Power Industry","Coal",116009874
"6183",2003,"PA","Total Electric Power Industry","Hydro",3346267
"6184",2003,"PA","Total Electric Power Industry","Natural Gas",5518536
"6185",2003,"PA","Total Electric Power Industry","Nuclear",74360862
"6189",2003,"PA","Total Electric Power Industry","Petroleum",4535336
"6191",2003,"PA","Total Electric Power Industry","Wind",111521
"6192",2003,"PA","Total Electric Power Industry","Wood",735429
"6193",2003,"RI","Total Electric Power Industry","Total",5621145
"6194",2003,"RI","Total Electric Power Industry","Hydro",6021
"6195",2003,"RI","Total Electric Power Industry","Natural Gas",5454997
"6197",2003,"RI","Total Electric Power Industry","Petroleum",58359
"6198",2003,"SC","Total Electric Power Industry","Total",93772677
"6199",2003,"SC","Total Electric Power Industry","Coal",37432023
"6200",2003,"SC","Total Electric Power Industry","Hydro",3665426
"6201",2003,"SC","Total Electric Power Industry","Natural Gas",1662782
"6202",2003,"SC","Total Electric Power Industry","Nuclear",50417690
"6206",2003,"SC","Total Electric Power Industry","Petroleum",456871
"6208",2003,"SC","Total Electric Power Industry","Wood",1244262
"6209",2003,"SD","Total Electric Power Industry","Total",7943837
"6210",2003,"SD","Total Electric Power Industry","Coal",3431203
"6211",2003,"SD","Total Electric Power Industry","Hydro",4276303
"6212",2003,"SD","Total Electric Power Industry","Natural Gas",176024
"6213",2003,"SD","Total Electric Power Industry","Petroleum",16058
"6214",2003,"SD","Total Electric Power Industry","Wind",44249
"6215",2003,"TN","Total Electric Power Industry","Total",92221791
"6216",2003,"TN","Total Electric Power Industry","Coal",54921298
"6217",2003,"TN","Total Electric Power Industry","Hydro",12003646
"6218",2003,"TN","Total Electric Power Industry","Natural Gas",626987
"6219",2003,"TN","Total Electric Power Industry","Nuclear",24152580
"6223",2003,"TN","Total Electric Power Industry","Petroleum",405810
"6225",2003,"TN","Total Electric Power Industry","Wind",3933
"6226",2003,"TN","Total Electric Power Industry","Wood",766982
"6227",2003,"TX","Total Electric Power Industry","Total",379199685
"6228",2003,"TX","Total Electric Power Industry","Coal",146989510
"6229",2003,"TX","Total Electric Power Industry","Hydro",896539
"6230",2003,"TX","Total Electric Power Industry","Natural Gas",184911350
"6231",2003,"TX","Total Electric Power Industry","Nuclear",33437484
"6235",2003,"TX","Total Electric Power Industry","Petroleum",2515255
"6236",2003,"TX","Total Electric Power Industry","Wind",2569853
"6237",2003,"TX","Total Electric Power Industry","Wood",1036160
"6238",2003,"US-TOTAL","Total Electric Power Industry","Total",3883185205
"6239",2003,"US-TOTAL","Total Electric Power Industry","Coal",1973736750
"6240",2003,"US-TOTAL","Total Electric Power Industry","Geothermal",14424231
"6241",2003,"US-TOTAL","Total Electric Power Industry","Hydro",275806328
"6242",2003,"US-TOTAL","Total Electric Power Industry","Natural Gas",649907541
"6243",2003,"US-TOTAL","Total Electric Power Industry","Nuclear",763732695
"6247",2003,"US-TOTAL","Total Electric Power Industry","Petroleum",119405640
"6249",2003,"US-TOTAL","Total Electric Power Industry","Solar",534001
"6250",2003,"US-TOTAL","Total Electric Power Industry","Wind",11187467
"6251",2003,"US-TOTAL","Total Electric Power Industry","Wood",37529097
"6252",2003,"UT","Total Electric Power Industry","Total",38023666
"6253",2003,"UT","Total Electric Power Industry","Coal",35978648
"6254",2003,"UT","Total Electric Power Industry","Geothermal",198465
"6255",2003,"UT","Total Electric Power Industry","Hydro",421339
"6256",2003,"UT","Total Electric Power Industry","Natural Gas",1383107
"6260",2003,"UT","Total Electric Power Industry","Petroleum",32866
"6261",2003,"VA","Total Electric Power Industry","Total",75309420
"6262",2003,"VA","Total Electric Power Industry","Coal",37093331
"6263",2003,"VA","Total Electric Power Industry","Hydro",1781569
"6264",2003,"VA","Total Electric Power Industry","Natural Gas",4619066
"6265",2003,"VA","Total Electric Power Industry","Nuclear",24816022
"6269",2003,"VA","Total Electric Power Industry","Petroleum",5780336
"6271",2003,"VA","Total Electric Power Industry","Wood",1587545
"6272",2003,"VT","Total Electric Power Industry","Total",6027962
"6273",2003,"VT","Total Electric Power Industry","Hydro",1154038
"6274",2003,"VT","Total Electric Power Industry","Natural Gas",2029
"6275",2003,"VT","Total Electric Power Industry","Nuclear",4444152
"6276",2003,"VT","Total Electric Power Industry","Petroleum",22607
"6277",2003,"VT","Total Electric Power Industry","Wind",10829
"6278",2003,"VT","Total Electric Power Industry","Wood",394307
"6279",2003,"WA","Total Electric Power Industry","Total",100094691
"6280",2003,"WA","Total Electric Power Industry","Coal",11089796
"6281",2003,"WA","Total Electric Power Industry","Hydro",71756783
"6282",2003,"WA","Total Electric Power Industry","Natural Gas",7082605
"6283",2003,"WA","Total Electric Power Industry","Nuclear",7614708
"6287",2003,"WA","Total Electric Power Industry","Petroleum",66591
"6289",2003,"WA","Total Electric Power Industry","Wind",603674
"6290",2003,"WA","Total Electric Power Industry","Wood",1342733
"6291",2003,"WI","Total Electric Power Industry","Total",60122425
"6292",2003,"WI","Total Electric Power Industry","Coal",41717216
"6293",2003,"WI","Total Electric Power Industry","Hydro",1843295
"6294",2003,"WI","Total Electric Power Industry","Natural Gas",2478390
"6295",2003,"WI","Total Electric Power Industry","Nuclear",12215463
"6298",2003,"WI","Total Electric Power Industry","Petroleum",472788
"6299",2003,"WI","Total Electric Power Industry","Wind",97580
"6300",2003,"WI","Total Electric Power Industry","Wood",757443
"6301",2003,"WV","Total Electric Power Industry","Total",94711554
"6302",2003,"WV","Total Electric Power Industry","Coal",92468983
"6303",2003,"WV","Total Electric Power Industry","Hydro",1356031
"6304",2003,"WV","Total Electric Power Industry","Natural Gas",277837
"6308",2003,"WV","Total Electric Power Industry","Petroleum",247898
"6309",2003,"WV","Total Electric Power Industry","Wind",169762
"6310",2003,"WV","Total Electric Power Industry","Wood",157
"6311",2003,"WY","Total Electric Power Industry","Total",43626602
"6312",2003,"WY","Total Electric Power Industry","Coal",42341452
"6313",2003,"WY","Total Electric Power Industry","Hydro",593555
"6314",2003,"WY","Total Electric Power Industry","Natural Gas",280196
"6315",2003,"WY","Total Electric Power Industry","Petroleum",44921
"6316",2003,"WY","Total Electric Power Industry","Wind",366478
"6317",2004,"AK","Total Electric Power Industry","Total",6526717
"6318",2004,"AK","Total Electric Power Industry","Coal",648980
"6319",2004,"AK","Total Electric Power Industry","Hydro",1498020
"6320",2004,"AK","Total Electric Power Industry","Natural Gas",3623433
"6322",2004,"AK","Total Electric Power Industry","Petroleum",747068
"6323",2004,"AK","Total Electric Power Industry","Wood",389
"6324",2004,"AL","Total Electric Power Industry","Total",137354771
"6325",2004,"AL","Total Electric Power Industry","Coal",74831624
"6326",2004,"AL","Total Electric Power Industry","Hydro",10626221
"6327",2004,"AL","Total Electric Power Industry","Natural Gas",15977019
"6328",2004,"AL","Total Electric Power Industry","Nuclear",31635789
"6332",2004,"AL","Total Electric Power Industry","Petroleum",295025
"6333",2004,"AL","Total Electric Power Industry","Wood",3756356
"6334",2004,"AR","Total Electric Power Industry","Total",51927632
"6335",2004,"AR","Total Electric Power Industry","Coal",25353563
"6336",2004,"AR","Total Electric Power Industry","Hydro",3643439
"6337",2004,"AR","Total Electric Power Industry","Natural Gas",5068764
"6338",2004,"AR","Total Electric Power Industry","Nuclear",15449851
"6341",2004,"AR","Total Electric Power Industry","Petroleum",538941
"6343",2004,"AR","Total Electric Power Industry","Wood",1777770
"6344",2004,"AZ","Total Electric Power Industry","Total",104564143
"6345",2004,"AZ","Total Electric Power Industry","Coal",39810556
"6346",2004,"AZ","Total Electric Power Industry","Hydro",6973147
"6347",2004,"AZ","Total Electric Power Industry","Natural Gas",28264943
"6348",2004,"AZ","Total Electric Power Industry","Nuclear",28112609
"6351",2004,"AZ","Total Electric Power Industry","Petroleum",40516
"6353",2004,"AZ","Total Electric Power Industry","Solar",4265
"6354",2004,"CA","Total Electric Power Industry","Total",194780355
"6355",2004,"CA","Total Electric Power Industry","Coal",2237808
"6356",2004,"CA","Total Electric Power Industry","Geothermal",13105306
"6357",2004,"CA","Total Electric Power Industry","Hydro",34140929
"6358",2004,"CA","Total Electric Power Industry","Natural Gas",100222233
"6359",2004,"CA","Total Electric Power Industry","Nuclear",30267887
"6363",2004,"CA","Total Electric Power Industry","Petroleum",2262897
"6365",2004,"CA","Total Electric Power Industry","Solar",570890
"6366",2004,"CA","Total Electric Power Industry","Wind",4305875
"6367",2004,"CA","Total Electric Power Industry","Wood",3826906
"6368",2004,"CO","Total Electric Power Industry","Total",47869492
"6369",2004,"CO","Total Electric Power Industry","Coal",35848390
"6370",2004,"CO","Total Electric Power Industry","Hydro",1194665
"6371",2004,"CO","Total Electric Power Industry","Natural Gas",10747496
"6374",2004,"CO","Total Electric Power Industry","Petroleum",13868
"6376",2004,"CO","Total Electric Power Industry","Wind",220141
"6377",2004,"CO","Total Electric Power Industry","Wood",87
"6378",2004,"CT","Total Electric Power Industry","Total",32633408
"6379",2004,"CT","Total Electric Power Industry","Coal",4255072
"6380",2004,"CT","Total Electric Power Industry","Hydro",462612
"6381",2004,"CT","Total Electric Power Industry","Natural Gas",8107806
"6382",2004,"CT","Total Electric Power Industry","Nuclear",16539097
"6386",2004,"CT","Total Electric Power Industry","Petroleum",1740112
"6388",2004,"CT","Total Electric Power Industry","Wood",5457
"6389",2004,"DC","Total Electric Power Industry","Total",36487
"6390",2004,"DC","Total Electric Power Industry","Petroleum",36487
"6391",2004,"DE","Total Electric Power Industry","Total",7855553
"6392",2004,"DE","Total Electric Power Industry","Coal",4743835
"6393",2004,"DE","Total Electric Power Industry","Natural Gas",1718419
"6395",2004,"DE","Total Electric Power Industry","Petroleum",1103578
"6396",2004,"FL","Total Electric Power Industry","Total",218117928
"6397",2004,"FL","Total Electric Power Industry","Coal",64861774
"6398",2004,"FL","Total Electric Power Industry","Hydro",265258
"6399",2004,"FL","Total Electric Power Industry","Natural Gas",76576970
"6400",2004,"FL","Total Electric Power Industry","Nuclear",31215576
"6404",2004,"FL","Total Electric Power Industry","Petroleum",37255452
"6405",2004,"FL","Total Electric Power Industry","Wood",2216324
"6406",2004,"GA","Total Electric Power Industry","Total",126812715
"6407",2004,"GA","Total Electric Power Industry","Coal",79942963
"6408",2004,"GA","Total Electric Power Industry","Hydro",3692396
"6409",2004,"GA","Total Electric Power Industry","Natural Gas",6129652
"6410",2004,"GA","Total Electric Power Industry","Nuclear",33747705
"6413",2004,"GA","Total Electric Power Industry","Petroleum",946528
"6415",2004,"GA","Total Electric Power Industry","Wood",3108275
"6416",2004,"HI","Total Electric Power Industry","Total",11410403
"6417",2004,"HI","Total Electric Power Industry","Coal",1603751
"6418",2004,"HI","Total Electric Power Industry","Geothermal",213288
"6419",2004,"HI","Total Electric Power Industry","Hydro",93901
"6423",2004,"HI","Total Electric Power Industry","Petroleum",8944696
"6424",2004,"HI","Total Electric Power Industry","Wind",7495
"6425",2004,"IA","Total Electric Power Industry","Total",43248189
"6426",2004,"IA","Total Electric Power Industry","Coal",35272196
"6427",2004,"IA","Total Electric Power Industry","Hydro",945959
"6428",2004,"IA","Total Electric Power Industry","Natural Gas",824706
"6429",2004,"IA","Total Electric Power Industry","Nuclear",4928948
"6432",2004,"IA","Total Electric Power Industry","Petroleum",108620
"6433",2004,"IA","Total Electric Power Industry","Wind",1049952
"6434",2004,"ID","Total Electric Power Industry","Total",10863039
"6435",2004,"ID","Total Electric Power Industry","Coal",99203
"6436",2004,"ID","Total Electric Power Industry","Hydro",8461655
"6437",2004,"ID","Total Electric Power Industry","Natural Gas",1703823
"6439",2004,"ID","Total Electric Power Industry","Petroleum",136
"6440",2004,"ID","Total Electric Power Industry","Wood",560280
"6441",2004,"IL","Total Electric Power Industry","Total",191957778
"6442",2004,"IL","Total Electric Power Industry","Coal",94401628
"6443",2004,"IL","Total Electric Power Industry","Hydro",153529
"6444",2004,"IL","Total Electric Power Industry","Natural Gas",3393312
"6445",2004,"IL","Total Electric Power Industry","Nuclear",92047323
"6449",2004,"IL","Total Electric Power Industry","Petroleum",762340
"6450",2004,"IL","Total Electric Power Industry","Wind",78073
"6451",2004,"IN","Total Electric Power Industry","Total",127770396
"6452",2004,"IN","Total Electric Power Industry","Coal",120670932
"6453",2004,"IN","Total Electric Power Industry","Hydro",443721
"6454",2004,"IN","Total Electric Power Industry","Natural Gas",2438226
"6458",2004,"IN","Total Electric Power Industry","Petroleum",425257
"6459",2004,"KS","Total Electric Power Industry","Total",46782659
"6460",2004,"KS","Total Electric Power Industry","Coal",34593346
"6461",2004,"KS","Total Electric Power Industry","Hydro",12547
"6462",2004,"KS","Total Electric Power Industry","Natural Gas",831634
"6463",2004,"KS","Total Electric Power Industry","Nuclear",10132736
"6464",2004,"KS","Total Electric Power Industry","Petroleum",853763
"6465",2004,"KS","Total Electric Power Industry","Wind",358632
"6466",2004,"KY","Total Electric Power Industry","Total",94529947
"6467",2004,"KY","Total Electric Power Industry","Coal",86120511
"6468",2004,"KY","Total Electric Power Industry","Hydro",3780251
"6469",2004,"KY","Total Electric Power Industry","Natural Gas",579840
"6473",2004,"KY","Total Electric Power Industry","Petroleum",3621099
"6474",2004,"KY","Total Electric Power Industry","Wood",349119
"6475",2004,"LA","Total Electric Power Industry","Total",98172309
"6476",2004,"LA","Total Electric Power Industry","Coal",23657811
"6477",2004,"LA","Total Electric Power Industry","Hydro",1098825
"6478",2004,"LA","Total Electric Power Industry","Natural Gas",46169538
"6479",2004,"LA","Total Electric Power Industry","Nuclear",17079981
"6483",2004,"LA","Total Electric Power Industry","Petroleum",3903315
"6484",2004,"LA","Total Electric Power Industry","Wood",2889820
"6485",2004,"MA","Total Electric Power Industry","Total",47500483
"6486",2004,"MA","Total Electric Power Industry","Coal",10526362
"6487",2004,"MA","Total Electric Power Industry","Hydro",998281
"6488",2004,"MA","Total Electric Power Industry","Natural Gas",20971721
"6489",2004,"MA","Total Electric Power Industry","Nuclear",5938600
"6492",2004,"MA","Total Electric Power Industry","Petroleum",7533158
"6494",2004,"MA","Total Electric Power Industry","Wood",114336
"6495",2004,"MD","Total Electric Power Industry","Total",52052770
"6496",2004,"MD","Total Electric Power Industry","Coal",29195458
"6497",2004,"MD","Total Electric Power Industry","Hydro",2507521
"6498",2004,"MD","Total Electric Power Industry","Natural Gas",1183301
"6499",2004,"MD","Total Electric Power Industry","Nuclear",14580260
"6503",2004,"MD","Total Electric Power Industry","Petroleum",3296842
"6504",2004,"MD","Total Electric Power Industry","Wood",192384
"6505",2004,"ME","Total Electric Power Industry","Total",19098885
"6506",2004,"ME","Total Electric Power Industry","Coal",359410
"6507",2004,"ME","Total Electric Power Industry","Hydro",3430249
"6508",2004,"ME","Total Electric Power Industry","Natural Gas",9832187
"6512",2004,"ME","Total Electric Power Industry","Petroleum",1311913
"6513",2004,"ME","Total Electric Power Industry","Wood",3186957
"6514",2004,"MI","Total Electric Power Industry","Total",118487269
"6515",2004,"MI","Total Electric Power Industry","Coal",68606019
"6516",2004,"MI","Total Electric Power Industry","Hydro",1539584
"6517",2004,"MI","Total Electric Power Industry","Natural Gas",14547703
"6518",2004,"MI","Total Electric Power Industry","Nuclear",30561961
"6522",2004,"MI","Total Electric Power Industry","Petroleum",896409
"6524",2004,"MI","Total Electric Power Industry","Wind",1875
"6525",2004,"MI","Total Electric Power Industry","Wood",1866638
"6526",2004,"MN","Total Electric Power Industry","Total",52364127
"6527",2004,"MN","Total Electric Power Industry","Coal",34000208
"6528",2004,"MN","Total Electric Power Industry","Hydro",738311
"6529",2004,"MN","Total Electric Power Industry","Natural Gas",1457584
"6530",2004,"MN","Total Electric Power Industry","Nuclear",13295502
"6533",2004,"MN","Total Electric Power Industry","Petroleum",783450
"6534",2004,"MN","Total Electric Power Industry","Wind",812371
"6535",2004,"MN","Total Electric Power Industry","Wood",652401
"6536",2004,"MO","Total Electric Power Industry","Total",87632910
"6537",2004,"MO","Total Electric Power Industry","Coal",75023555
"6538",2004,"MO","Total Electric Power Industry","Hydro",1479914
"6539",2004,"MO","Total Electric Power Industry","Natural Gas",2864851
"6540",2004,"MO","Total Electric Power Industry","Nuclear",7830693
"6544",2004,"MO","Total Electric Power Industry","Petroleum",196161
"6546",2004,"MO","Total Electric Power Industry","Wood",192
"6547",2004,"MS","Total Electric Power Industry","Total",43662613
"6548",2004,"MS","Total Electric Power Industry","Coal",17477688
"6549",2004,"MS","Total Electric Power Industry","Natural Gas",11618567
"6550",2004,"MS","Total Electric Power Industry","Nuclear",10232766
"6554",2004,"MS","Total Electric Power Industry","Petroleum",2776857
"6555",2004,"MS","Total Electric Power Industry","Wood",1511357
"6556",2004,"MT","Total Electric Power Industry","Total",26788768
"6557",2004,"MT","Total Electric Power Industry","Coal",17380228
"6558",2004,"MT","Total Electric Power Industry","Hydro",8856031
"6559",2004,"MT","Total Electric Power Industry","Natural Gas",27953
"6561",2004,"MT","Total Electric Power Industry","Petroleum",439137
"6562",2004,"MT","Total Electric Power Industry","Wood",62446
"6563",2004,"NC","Total Electric Power Industry","Total",126329957
"6564",2004,"NC","Total Electric Power Industry","Coal",75546115
"6565",2004,"NC","Total Electric Power Industry","Hydro",5435199
"6566",2004,"NC","Total Electric Power Industry","Natural Gas",2558654
"6567",2004,"NC","Total Electric Power Industry","Nuclear",40090623
"6571",2004,"NC","Total Electric Power Industry","Petroleum",610909
"6573",2004,"NC","Total Electric Power Industry","Wood",1620636
"6574",2004,"ND","Total Electric Power Industry","Total",29936106
"6575",2004,"ND","Total Electric Power Industry","Coal",28064224
"6576",2004,"ND","Total Electric Power Industry","Hydro",1545864
"6577",2004,"ND","Total Electric Power Industry","Natural Gas",9044
"6581",2004,"ND","Total Electric Power Industry","Petroleum",38431
"6582",2004,"ND","Total Electric Power Industry","Wind",214523
"6583",2004,"NE","Total Electric Power Industry","Total",32008709
"6584",2004,"NE","Total Electric Power Industry","Coal",20457085
"6585",2004,"NE","Total Electric Power Industry","Hydro",913021
"6586",2004,"NE","Total Electric Power Industry","Natural Gas",297390
"6587",2004,"NE","Total Electric Power Industry","Nuclear",10241254
"6591",2004,"NE","Total Electric Power Industry","Petroleum",21868
"6592",2004,"NE","Total Electric Power Industry","Wind",38431
"6593",2004,"NH","Total Electric Power Industry","Total",23875787
"6594",2004,"NH","Total Electric Power Industry","Coal",4076075
"6595",2004,"NH","Total Electric Power Industry","Hydro",1315756
"6596",2004,"NH","Total Electric Power Industry","Natural Gas",5399765
"6597",2004,"NH","Total Electric Power Industry","Nuclear",10177573
"6600",2004,"NH","Total Electric Power Industry","Petroleum",1960452
"6601",2004,"NH","Total Electric Power Industry","Wood",728066
"6602",2004,"NJ","Total Electric Power Industry","Total",55882342
"6603",2004,"NJ","Total Electric Power Industry","Coal",10322484
"6604",2004,"NJ","Total Electric Power Industry","Hydro",37503
"6605",2004,"NJ","Total Electric Power Industry","Natural Gas",15962195
"6606",2004,"NJ","Total Electric Power Industry","Nuclear",27081566
"6610",2004,"NJ","Total Electric Power Industry","Petroleum",1424853
"6612",2004,"NM","Total Electric Power Industry","Total",32940361
"6613",2004,"NM","Total Electric Power Industry","Coal",29263899
"6614",2004,"NM","Total Electric Power Industry","Hydro",138947
"6615",2004,"NM","Total Electric Power Industry","Natural Gas",2992674
"6617",2004,"NM","Total Electric Power Industry","Petroleum",31376
"6618",2004,"NM","Total Electric Power Industry","Wind",513465
"6619",2004,"NV","Total Electric Power Industry","Total",37667435
"6620",2004,"NV","Total Electric Power Industry","Coal",18257265
"6621",2004,"NV","Total Electric Power Industry","Geothermal",1297504
"6622",2004,"NV","Total Electric Power Industry","Hydro",1615123
"6623",2004,"NV","Total Electric Power Industry","Natural Gas",16380743
"6625",2004,"NV","Total Electric Power Industry","Petroleum",95766
"6626",2004,"NY","Total Electric Power Industry","Total",137964794
"6627",2004,"NY","Total Electric Power Industry","Coal",22852704
"6628",2004,"NY","Total Electric Power Industry","Hydro",23989661
"6629",2004,"NY","Total Electric Power Industry","Natural Gas",27294045
"6630",2004,"NY","Total Electric Power Industry","Nuclear",40640305
"6633",2004,"NY","Total Electric Power Industry","Petroleum",21205198
"6635",2004,"NY","Total Electric Power Industry","Wind",116450
"6636",2004,"NY","Total Electric Power Industry","Wood",497129
"6637",2004,"OH","Total Electric Power Industry","Total",148345905
"6638",2004,"OH","Total Electric Power Industry","Coal",128156782
"6639",2004,"OH","Total Electric Power Industry","Hydro",729876
"6640",2004,"OH","Total Electric Power Industry","Natural Gas",1390995
"6641",2004,"OH","Total Electric Power Industry","Nuclear",15950121
"6645",2004,"OH","Total Electric Power Industry","Petroleum",1388281
"6646",2004,"OH","Total Electric Power Industry","Wood",397708
"6647",2004,"OK","Total Electric Power Industry","Total",60729560
"6648",2004,"OK","Total Electric Power Industry","Coal",33801386
"6649",2004,"OK","Total Electric Power Industry","Hydro",2976676
"6650",2004,"OK","Total Electric Power Industry","Natural Gas",23285579
"6653",2004,"OK","Total Electric Power Industry","Petroleum",68312
"6655",2004,"OK","Total Electric Power Industry","Wind",572744
"6656",2004,"OK","Total Electric Power Industry","Wood",249875
"6657",2004,"OR","Total Electric Power Industry","Total",51381278
"6658",2004,"OR","Total Electric Power Industry","Coal",3555661
"6659",2004,"OR","Total Electric Power Industry","Hydro",33080819
"6660",2004,"OR","Total Electric Power Industry","Natural Gas",13525183
"6663",2004,"OR","Total Electric Power Industry","Petroleum",62933
"6664",2004,"OR","Total Electric Power Industry","Wind",619012
"6665",2004,"OR","Total Electric Power Industry","Wood",409951
"6666",2004,"PA","Total Electric Power Industry","Total",214658501
"6667",2004,"PA","Total Electric Power Industry","Coal",117175783
"6668",2004,"PA","Total Electric Power Industry","Hydro",3155338
"6669",2004,"PA","Total Electric Power Industry","Natural Gas",9813647
"6670",2004,"PA","Total Electric Power Industry","Nuclear",77458632
"6674",2004,"PA","Total Electric Power Industry","Petroleum",4141813
"6676",2004,"PA","Total Electric Power Industry","Wind",306312
"6677",2004,"PA","Total Electric Power Industry","Wood",679853
"6678",2004,"RI","Total Electric Power Industry","Total",4939420
"6679",2004,"RI","Total Electric Power Industry","Hydro",5461
"6680",2004,"RI","Total Electric Power Industry","Natural Gas",4783907
"6682",2004,"RI","Total Electric Power Industry","Petroleum",48525
"6683",2004,"SC","Total Electric Power Industry","Total",97939929
"6684",2004,"SC","Total Electric Power Industry","Coal",38922220
"6685",2004,"SC","Total Electric Power Industry","Hydro",2446909
"6686",2004,"SC","Total Electric Power Industry","Natural Gas",3797858
"6687",2004,"SC","Total Electric Power Industry","Nuclear",51200640
"6691",2004,"SC","Total Electric Power Industry","Petroleum",871291
"6693",2004,"SC","Total Electric Power Industry","Wood",1694219
"6694",2004,"SD","Total Electric Power Industry","Total",7510214
"6695",2004,"SD","Total Electric Power Industry","Coal",3620001
"6696",2004,"SD","Total Electric Power Industry","Hydro",3597509
"6697",2004,"SD","Total Electric Power Industry","Natural Gas",112255
"6699",2004,"SD","Total Electric Power Industry","Petroleum",22771
"6700",2004,"SD","Total Electric Power Industry","Wind",157678
"6701",2004,"TN","Total Electric Power Industry","Total",97594542
"6702",2004,"TN","Total Electric Power Industry","Coal",58059632
"6703",2004,"TN","Total Electric Power Industry","Hydro",10408112
"6704",2004,"TN","Total Electric Power Industry","Natural Gas",292486
"6705",2004,"TN","Total Electric Power Industry","Nuclear",28612271
"6709",2004,"TN","Total Electric Power Industry","Petroleum",190814
"6711",2004,"TN","Total Electric Power Industry","Wind",3813
"6712",2004,"TN","Total Electric Power Industry","Wood",784313
"6713",2004,"TX","Total Electric Power Industry","Total",390299132
"6714",2004,"TX","Total Electric Power Industry","Coal",148884655
"6715",2004,"TX","Total Electric Power Industry","Hydro",1300609
"6716",2004,"TX","Total Electric Power Industry","Natural Gas",188754663
"6717",2004,"TX","Total Electric Power Industry","Nuclear",40435372
"6721",2004,"TX","Total Electric Power Industry","Petroleum",1728906
"6722",2004,"TX","Total Electric Power Industry","Wind",3137690
"6723",2004,"TX","Total Electric Power Industry","Wood",857217
"6724",2004,"US-TOTAL","Total Electric Power Industry","Total",3970555263
"6725",2004,"US-TOTAL","Total Electric Power Industry","Coal",1978300549
"6726",2004,"US-TOTAL","Total Electric Power Industry","Geothermal",14810975
"6727",2004,"US-TOTAL","Total Electric Power Industry","Hydro",268417308
"6728",2004,"US-TOTAL","Total Electric Power Industry","Natural Gas",710100017
"6729",2004,"US-TOTAL","Total Electric Power Industry","Nuclear",788528387
"6733",2004,"US-TOTAL","Total Electric Power Industry","Petroleum",121145057
